Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.058867, 0.0584, 0.0608, 0.060729, 133299.655
<module 'time' (built-in)>, 0.060785, 0.06024, 0.062096, 0.061919, 153230.662
<module 'time' (built-in)>, 0.061919, 0.059288, 0.06305, 0.062385, 222972.337
<module 'time' (built-in)>, 0.062455, 0.061802, 0.064686, 0.062639, 194683.665
<module 'time' (built-in)>, 0.06264, 0.061636, 0.063555, 0.062853, 89889.134
<module 'time' (built-in)>, 0.062791, 0.062261, 0.063968, 0.063889, 84977.727
<module 'time' (built-in)>, 0.063957, 0.062901, 0.064087, 0.063526, 106019.238
<module 'time' (built-in)>, 0.06346, 0.062874, 0.0647, 0.06368, 150612.957
<module 'time' (built-in)>, 0.063682, 0.063261, 0.064483, 0.064428, 123125.213
<module 'time' (built-in)>, 0.064427, 0.06394, 0.068888, 0.06867, 166176.247
<module 'time' (built-in)>, 0.068669, 0.06749, 0.071277, 0.069656, 179540.778
<module 'time' (built-in)>, 0.069581, 0.065328, 0.069784, 0.067908, 146061.999
<module 'time' (built-in)>, 0.067836, 0.065618, 0.072665, 0.070652, 147845.855
<module 'time' (built-in)>, 0.070652, 0.07054, 0.072665, 0.072054, 125512.203
<module 'time' (built-in)>, 0.072054, 0.071652, 0.075759, 0.072884, 171553.063
<module 'time' (built-in)>, 0.072891, 0.066688, 0.072972, 0.069575, 221923.268
<module 'time' (built-in)>, 0.069578, 0.068851, 0.072, 0.071351, 156534.544
<module 'time' (built-in)>, 0.0714, 0.070679, 0.073557, 0.072081, 135904.827
<module 'time' (built-in)>, 0.072143, 0.071992, 0.073865, 0.073167, 129817.207
<module 'time' (built-in)>, 0.073169, 0.072299, 0.073601, 0.073316, 146843.949
<module 'time' (built-in)>, 0.073316, 0.07212, 0.075118, 0.072536, 162921.554
<module 'time' (built-in)>, 0.072536, 0.070492, 0.074628, 0.0741, 149553.893
<module 'time' (built-in)>, 0.0741, 0.073884, 0.07522, 0.074459, 131992.843
<module 'time' (built-in)>, 0.074459, 0.074369, 0.080997, 0.079958, 261509.491
<module 'time' (built-in)>, 0.08, 0.079065, 0.083189, 0.08086, 199115.127
