Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.10078, 0.10078, 0.10078, 0.10078, 84.09
<module 'time' (built-in)>, 0.10078, 0.10023, 0.10125, 0.10125, 297.83
<module 'time' (built-in)>, 0.10126, 0.10044, 0.10126, 0.10049, 5209.12
<module 'time' (built-in)>, 0.10049, 0.10049, 0.10049, 0.10049, 0.0
<module 'time' (built-in)>, 0.10115, 0.10115, 0.10115, 0.10115, 100.0
<module 'time' (built-in)>, 0.10115, 0.10115, 0.10115, 0.10115, 469.65
<module 'time' (built-in)>, 0.10115, 0.10115, 0.10115, 0.10115, 0.0
<module 'time' (built-in)>, 0.10115, 0.10115, 0.10115, 0.10115, 0.0
<module 'time' (built-in)>, 0.10115, 0.10115, 0.10115, 0.10115, 0.0
<module 'time' (built-in)>, 0.10148, 0.10108, 0.10148, 0.10108, 54.7
<module 'time' (built-in)>, 0.10108, 0.10108, 0.10108, 0.10108, 0.0
<module 'time' (built-in)>, 0.10147, 0.10147, 0.10169, 0.10169, 164.08
<module 'time' (built-in)>, 0.10169, 0.10169, 0.10185, 0.10185, 363.05
<module 'time' (built-in)>, 0.1014, 0.098, 0.1014, 0.10021, 7894.63
<module 'time' (built-in)>, 0.10101, 0.10002, 0.10103, 0.10003, 220.18
<module 'time' (built-in)>, 0.10058, 0.10058, 0.10058, 0.10058, 205.0
<module 'time' (built-in)>, 0.1005, 0.10049, 0.10057, 0.10056, 84.71
<module 'time' (built-in)>, 0.10056, 0.10056, 0.10056, 0.10056, 0.0
<module 'time' (built-in)>, 0.10057, 0.10057, 0.10073, 0.10073, 9.94
<module 'time' (built-in)>, 0.10073, 0.10073, 0.10073, 0.10073, 0.0
<module 'time' (built-in)>, 0.10073, 0.10073, 0.10073, 0.10073, 0.0
<module 'time' (built-in)>, 0.10073, 0.10073, 0.10073, 0.10073, 0.0
<module 'time' (built-in)>, 0.10073, 0.10002, 0.10073, 0.10002, 189.51
<module 'time' (built-in)>, 0.09978, 0.09978, 0.09978, 0.09978, 53.1
<module 'time' (built-in)>, 0.09978, 0.09965, 0.09978, 0.09965, 123.0
<module 'time' (built-in)>, 0.09962, 0.09962, 0.10039, 0.10039, 886.79
<module 'time' (built-in)>, 0.09962, 0.09962, 0.09962, 0.09962, 0.01
<module 'time' (built-in)>, 0.09943, 0.09943, 0.09943, 0.09943, 50.02
<module 'time' (built-in)>, 0.09926, 0.09883, 0.09926, 0.09883, 142.59
<module 'time' (built-in)>, 0.09878, 0.09833, 0.099, 0.099, 102.27
<module 'time' (built-in)>, 0.099, 0.099, 0.099, 0.099, 15.51
<module 'time' (built-in)>, 0.09953, 0.09916, 0.09995, 0.09959, 104.65
<module 'time' (built-in)>, 0.10007, 0.10007, 0.10009, 0.10009, 100.64
<module 'time' (built-in)>, 0.10022, 0.10022, 0.10022, 0.10022, 9.98
<module 'time' (built-in)>, 0.10022, 0.10022, 0.10022, 0.10022, 0.0
<module 'time' (built-in)>, 0.10022, 0.09958, 0.10022, 0.09958, 400.0
<module 'time' (built-in)>, 0.09958, 0.09958, 0.09958, 0.09958, 0.0
<module 'time' (built-in)>, 0.09958, 0.09958, 0.09958, 0.09958, 0.0
<module 'time' (built-in)>, 0.09958, 0.09958, 0.09958, 0.09958, 0.0
<module 'time' (built-in)>, 0.09958, 0.09958, 0.09958, 0.09958, 0.0
<module 'time' (built-in)>, 0.09958, 0.09958, 0.09958, 0.09958, 250.0
<module 'time' (built-in)>, 0.09958, 0.09958, 0.09958, 0.09958, 275.0
<module 'time' (built-in)>, 0.09898, 0.09878, 0.09955, 0.09955, 657.26
<module 'time' (built-in)>, 0.09878, 0.09878, 0.09878, 0.09878, 10.23
<module 'time' (built-in)>, 0.09878, 0.09878, 0.09878, 0.09878, 16.5
<module 'time' (built-in)>, 0.09878, 0.09878, 0.09878, 0.09878, 30.37
<module 'time' (built-in)>, 0.09878, 0.09878, 0.09878, 0.09878, 0.0
<module 'time' (built-in)>, 0.09855, 0.09846, 0.09909, 0.09846, 152.96
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 0.0
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 0.0
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 0.0
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 0.0
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 0.0
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 225.1
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 0.0
<module 'time' (built-in)>, 0.09846, 0.09846, 0.09846, 0.09846, 0.0
<module 'time' (built-in)>, 0.09879, 0.09879, 0.0988, 0.0988, 253.03
<module 'time' (built-in)>, 0.0988, 0.0988, 0.0988, 0.0988, 0.0
<module 'time' (built-in)>, 0.0988, 0.0988, 0.0988, 0.0988, 15.0
<module 'time' (built-in)>, 0.09902, 0.09836, 0.09903, 0.09836, 231.2
<module 'time' (built-in)>, 0.09836, 0.09836, 0.09836, 0.09836, 601.1
<module 'time' (built-in)>, 0.09836, 0.09836, 0.09836, 0.09836, 0.0
<module 'time' (built-in)>, 0.09836, 0.09836, 0.09836, 0.09836, 0.0
<module 'time' (built-in)>, 0.09836, 0.09836, 0.09836, 0.09836, 0.0
<module 'time' (built-in)>, 0.09836, 0.09836, 0.09836, 0.09836, 0.0
<module 'time' (built-in)>, 0.09826, 0.09819, 0.09826, 0.09819, 200.0
<module 'time' (built-in)>, 0.09883, 0.09883, 0.09883, 0.09883, 50.6
<module 'time' (built-in)>, 0.09841, 0.09839, 0.09841, 0.09839, 2084.3
<module 'time' (built-in)>, 0.09829, 0.09829, 0.09829, 0.09829, 200.0
<module 'time' (built-in)>, 0.0988, 0.09838, 0.09891, 0.09838, 33.1
<module 'time' (built-in)>, 0.09891, 0.09891, 0.09893, 0.09893, 214.56
<module 'time' (built-in)>, 0.09893, 0.09893, 0.09893, 0.09893, 0.0
<module 'time' (built-in)>, 0.09912, 0.09912, 0.09946, 0.09946, 282.4
<module 'time' (built-in)>, 0.09946, 0.09946, 0.09946, 0.09946, 0.0
<module 'time' (built-in)>, 0.09946, 0.09946, 0.09946, 0.09946, 0.0
<module 'time' (built-in)>, 0.09946, 0.09946, 0.09946, 0.09946, 0.0
<module 'time' (built-in)>, 0.09946, 0.09946, 0.09946, 0.09946, 0.0
<module 'time' (built-in)>, 0.09946, 0.09946, 0.09946, 0.09946, 0.0
<module 'time' (built-in)>, 0.09946, 0.09946, 0.09946, 0.09946, 0.0
<module 'time' (built-in)>, 0.09895, 0.09895, 0.099, 0.099, 97.01
<module 'time' (built-in)>, 0.099, 0.099, 0.099, 0.099, 0.0
<module 'time' (built-in)>, 0.099, 0.099, 0.099, 0.099, 0.0
<module 'time' (built-in)>, 0.09947, 0.09947, 0.09958, 0.09958, 31.17
<module 'time' (built-in)>, 0.09958, 0.09958, 0.09958, 0.09958, 0.0
<module 'time' (built-in)>, 0.09978, 0.099, 0.09978, 0.099, 66.12
<module 'time' (built-in)>, 0.099, 0.099, 0.099, 0.099, 0.0
<module 'time' (built-in)>, 0.099, 0.099, 0.099, 0.099, 0.0
<module 'time' (built-in)>, 0.099, 0.099, 0.099, 0.099, 0.0
<module 'time' (built-in)>, 0.099, 0.099, 0.099, 0.099, 0.0
<module 'time' (built-in)>, 0.09978, 0.09978, 0.09978, 0.09978, 9.51
<module 'time' (built-in)>, 0.09986, 0.09986, 0.09999, 0.09999, 28.52
<module 'time' (built-in)>, 0.09999, 0.09992, 0.1006, 0.1006, 347.24
<module 'time' (built-in)>, 0.10068, 0.10068, 0.10097, 0.10097, 643.0
<module 'time' (built-in)>, 0.10047, 0.10047, 0.10097, 0.10097, 116.35
<module 'time' (built-in)>, 0.10097, 0.10097, 0.10097, 0.10097, 104.4
<module 'time' (built-in)>, 0.1009, 0.1009, 0.10097, 0.10097, 250.55
<module 'time' (built-in)>, 0.10097, 0.10097, 0.10097, 0.10097, 37.4
<module 'time' (built-in)>, 0.10132, 0.10132, 0.10134, 0.10134, 204.21
<module 'time' (built-in)>, 0.10134, 0.10134, 0.10134, 0.10134, 0.0
<module 'time' (built-in)>, 0.10155, 0.10155, 0.10155, 0.10155, 9.85
<module 'time' (built-in)>, 0.10161, 0.10161, 0.10161, 0.10161, 91.0
<module 'time' (built-in)>, 0.10161, 0.10161, 0.10161, 0.10161, 37.4
<module 'time' (built-in)>, 0.10161, 0.10161, 0.10161, 0.10161, 0.0
<module 'time' (built-in)>, 0.10178, 0.10146, 0.10209, 0.10209, 117.53
<module 'time' (built-in)>, 0.10209, 0.10209, 0.10209, 0.10209, 0.01
<module 'time' (built-in)>, 0.10209, 0.10209, 0.10209, 0.10209, 0.0
<module 'time' (built-in)>, 0.10209, 0.10209, 0.10209, 0.10209, 0.0
<module 'time' (built-in)>, 0.10195, 0.10195, 0.10195, 0.10195, 1.1
<module 'time' (built-in)>, 0.10195, 0.10195, 0.10195, 0.10195, 0.0
<module 'time' (built-in)>, 0.10195, 0.10195, 0.10195, 0.10195, 0.0
<module 'time' (built-in)>, 0.10195, 0.10195, 0.10195, 0.10195, 0.0
<module 'time' (built-in)>, 0.10224, 0.10224, 0.10231, 0.10231, 71.13
<module 'time' (built-in)>, 0.10231, 0.10231, 0.10231, 0.10231, 0.0
