Time, Open, High, Low, Close, Volume
<module 'time' (built-in)>, 0.09902, 0.09836, 0.09903, 0.09836, 832.3
<module 'time' (built-in)>, 0.09826, 0.09819, 0.09883, 0.09829, 2534.9
<module 'time' (built-in)>, 0.0988, 0.09838, 0.09946, 0.09946, 530.06
<module 'time' (built-in)>, 0.09946, 0.09946, 0.09946, 0.09946, 0.0
<module 'time' (built-in)>, 0.09895, 0.09895, 0.09958, 0.09958, 128.18
<module 'time' (built-in)>, 0.09978, 0.099, 0.09978, 0.099, 66.12
<module 'time' (built-in)>, 0.09978, 0.09978, 0.10097, 0.10097, 1144.62
<module 'time' (built-in)>, 0.10097, 0.1009, 0.10134, 0.10134, 596.56
<module 'time' (built-in)>, 0.10155, 0.10146, 0.10209, 0.10209, 255.78
<module 'time' (built-in)>, 0.10209, 0.10195, 0.10209, 0.10195, 1.11
<module 'time' (built-in)>, 0.10224, 0.10224, 0.10244, 0.10244, 89.33
<module 'time' (built-in)>, 0.10204, 0.10117, 0.10204, 0.10117, 104.1
<module 'time' (built-in)>, 0.10189, 0.10189, 0.10252, 0.1025, 740.43
<module 'time' (built-in)>, 0.1025, 0.10245, 0.10405, 0.10369, 870.33
<module 'time' (built-in)>, 0.10347, 0.10347, 0.10444, 0.10433, 162.77
<module 'time' (built-in)>, 0.10428, 0.1036, 0.1046, 0.1036, 488.61
<module 'time' (built-in)>, 0.10332, 0.10332, 0.10332, 0.10332, 49.68
<module 'time' (built-in)>, 0.10333, 0.10285, 0.10377, 0.10377, 940.3
<module 'time' (built-in)>, 0.10377, 0.10377, 0.10377, 0.10377, 0.0
<module 'time' (built-in)>, 0.1027, 0.10261, 0.10339, 0.10331, 433.84
<module 'time' (built-in)>, 0.10331, 0.10331, 0.10331, 0.10331, 0.0
